Name,Class,Gender,Survived
"Long, Mr Milton Clyde",1st,male,0
"Longley, Miss Gretchen Fiske",1st,female,1
"Loring, Mr Joseph Holland",1st,male,0
"Madill, Miss Georgette Alexand",1st,female,1
"Maguire, Mr John Edward",1st,male,0
"Marechal, Mr Pierre",1st,male,1
"Marvin, Mr Daniel Warner",1st,male,0
"Marvin, Mrs Daniel Warner (Mar",1st,female,1
"McCaffry, Mr Thomas Francis",1st,male,0
"McCarthy, Mr Timothy J",1st,male,0
"McGough, Mr James R",1st,male,1
"Meyer, Mr Edgar Joseph",1st,male,0
"Meyer, Mrs Edgar Joseph (Leila",1st,female,1
"Millet, Mr Francis Davis",1st,male,0
"Minahan, Miss Daisy E",1st,female,1
"Minahan, Dr William Edward",1st,male,0
"Minahan, Mrs William Edward (L",1st,female,1
"Mock, Mr Philip E",1st,male,1
"Molson, Mr Harry Markland",1st,male,0
"Moore, Mr Clarence Bloomfield",1st,male,0
"Natsch, Mr Charles H",1st,male,0
"Newell, Mr Arthur Webster",1st,male,0
"Newell, Miss Madeleine",1st,female,1
"Newell, Miss Marjorie",1st,female,1
"Newsom, Miss Helen Monypeny",1st,female,1
"Nicholson, Mr Arthur Ernest",1st,male,0
"Omont, Mr A Fernand",1st,male,1
"Ostby, Mr Engelhart Cornelius",1st,male,0
"Ostby, Miss Helen Raghnild",1st,female,1
"Ovies y Rodriguez, Mr Servando",1st,male,0
"Parr, Mr William Henry Marsh",1st,male,0
"Partner, Mr Austin",1st,male,0
"Payne, Mr Vivian Ponsonby",1st,male,0
"Pears, Mr Thomas",1st,male,0
"Pears, Mrs Thomas (Edith)",1st,female,1
"Penasco, Mr Victor de Satode",1st,male,0
"Penasco, Mrs Victor de Satode",1st,female,1
"Peuchen, Major Arthur Godfrey",1st,male,1
"Porter, Mr Walter Chamberlain",1st,male,0
"Potter, Mrs Thomas, Jr (Lily A",1st,female,1
"Reuchlin, Jonkheer John George",1st,male,0
"Rheims, Mr George Lucien",1st,male,1
"Robert, Mrs Edward Scott (Elis",1st,female,1
"Roebling, Mr Washington August",1st,male,0
"Romaine, Mr Charles Hallace",1st,male,1
"Rood, Mr Hugh R",1st,male,0
"Rosenbaum (Russell), Miss Edit",1st,female,1
"Ross, Mr John Hugo",1st,male,0
"Rothes, the Countess of (Noel",1st,female,1
"Rothschild, Mr Martin",1st,male,0
"Rothschild, Mrs Martin (Elizab",1st,female,1
"Rowe, Mr Alfred G",1st,male,0
"Ryerson, Mr Arthur Larned",1st,male,0
"Ryerson, Mrs Arthur Larned (Em",1st,female,1
"Ryerson, Miss Emily Borie",1st,female,1
"Ryerson, Master John Borie",1st,male,1
"Ryerson, Miss Susan (Suzette)",1st,female,1
"Saalfeld, Mr Adolphe",1st,male,1
"Salomon, Mr Abraham L",1st,male,1
"Schabert, Mrs Paul (Emma Mock)",1st,female,1
"Seward, Mr Frederic Kimber",1st,male,1
"Shutes, Miss Elizabeth W",1st,female,1
"Silverthorne, Mr Spencer Victo",1st,male,1
"Silvey, Mr William Baird",1st,male,0
"Silvey, Mrs William Baird (Ali",1st,female,1
"Simonius-Blumer, Col Alfons",1st,male,1
"Sloper, Mr William Thompson",1st,male,1
"Smart, Mr John Montgomery",1st,male,0
"Smith, Mr James Clinch",1st,male,0
"Smith, Mr Lucien Philip",1st,male,0
"Smith, Mrs Lucien Philip (Mary",1st,female,1
"Smith, Mr Richard William",1st,male,0
"Snyder, Mr John Pillsbury",1st,male,1
"Snyder, Mrs John Pillsbury (Ne",1st,female,1
"Spedden, Mr Frederick Oakley",1st,male,1
"Spedden, Mrs Frederick Oakley",1st,female,1
"Spedden, Master Robert Douglas",1st,male,1
"Spencer, Mr William Augustus",1st,male,0
"Spencer, Mrs William Augustus",1st,female,1
"Staehlin, Dr Max",1st,male,1
"Stead, Mr William Thomas",1st,male,0
"Stengel, Mr Charles Emil Henry",1st,male,1
"Stengel, Mrs Charles Emil Henr",1st,female,1
"Stephenson, Mrs Walter Bertram",1st,female,1
"Stewart, Mr Albert A",1st,male,0
"Stone, Mrs George Nelson (Mart",1st,female,1
"Straus, Mr Isidor",1st,male,0
"Straus, Mrs Isidor (Ida Blun)",1st,female,0
"Sutton, Mr Frederick",1st,male,0
"Swift, Mrs Frederick Joel (Mar",1st,female,1
"Taussig, Mr Emil",1st,male,0
"Taussig, Mrs Emil (Tillie Mand",1st,female,1
"Taussig, Miss Ruth",1st,female,1
"Taylor, Mr Elmer Zebley",1st,male,1
"Taylor, Mrs Elmer Zebley (Juli",1st,female,1
"Thayer, Mr John Borland",1st,male,0
"Thayer, Mrs John Borland (Mari",1st,female,1
"Thayer, Mr John Borland, jr",1st,male,1
"Thorne, Mr George (alias of: M",1st,male,0
"Thorne, Mrs Gertrude Maybelle",1st,female,1
"Tucker, Mr Gilbert Milligan, j",1st,male,1
"Uruchurtu, Mr Manuel E",1st,male,0
"Van Derhoef, Mr Wyckoff",1st,male,0
"Walker, Mr William Anderson",1st,male,0
"Warren, Mr Frank Manley",1st,male,0
"Warren, Mrs Frank Manley (Anna",1st,female,1
"Weir, Col John",1st,male,0
"White, Mrs J Stuart (Ella Holm",1st,female,1
"White, Mr Percival Wayland",1st,male,0
"White, Mr Richard Frasar",1st,male,0
"Wick, Mr George Dennick",1st,male,0
"Wick, Mrs George Dennick (Mart",1st,female,1
"Wick, Miss Mary Natalie",1st,female,1
"Widener, Mr George Dunton",1st,male,0
"Widener, Mrs George Dunton (El",1st,female,1
"Widener, Mr Harry Elkins",1st,male,0
"Willard, Miss Constance",1st,female,1
"Williams, Mr Charles Duane",1st,male,0
"Williams, Mr Fletcher Lambert",1st,male,0
"Williams, Mr Richard Norris II",1st,male,1
"Woolner, Mr Hugh",1st,male,1
"Wright, Mr George",1st,male,0
"Young, Miss Marie Grice",1st,female,1
"Barber, Ms",1st,female,1
"Bazzani, Ms Albina",1st,female,1
"Bidois, Miss Rosalie",1st,female,1
"Bird, Ms Ellen",1st,female,1
"Bissetti, Ms Amelia",1st,female,1
"Burns, Ms Elizabeth Margaret",1st,female,1
"Chaudanson, Ms",1st,female,1
"Victorine""",1st,female,1
"Cleaver, Ms Alice",1st,female,1
"Daniels, Ms Sarah",1st,female,1
"Endres, Miss Caroline Louise",1st,male,0
"Farthing, Mr John",1st,female,0
"Fleming, Ms Margaret",1st,female,1
"Francatelli, Ms Laura Mabel",1st,male,0
"Fry, Mr Richard",1st,female,1
"Geiger, Miss Emily",1st,male,0
"Giglio, Mr Victor",1st,male,0
"Harrington, Mr Charles",1st,male,0
"Harrison, Mr William",1st,male,0
"Henry""",1st,female,1
"Hassah, Mr Hamad",1st,male,0
"Icabad (Icabod), Ms",1st,female,1
"Keeping, Mr Edwin",1st,female,1
"Kenchen, Ms Amelia",1st,male,0
"LeRoy, Miss Berthe",1st,female,1
"Lesneur, Mr Gustave",1st,female,0
"Maloney, Ms",1st,female,1
"Oliva, Mlle",1st,male,0
"Pericault, Ms",1st,male,0
"Ringhini, Mr Sante",1st,female,1
"Robbins, Mr Victor",1st,female,0
"Segesser, Mlle Emma",1st,female,0
"Seredeca, Ms",1st,female,1
"Ward, Ms Anna",2nd,male,0
"Wilson, Ms Helen",2nd,female,1
"Abelson, Mr Samuel",2nd,male,0
"Abelson, Mrs Samuel (Anna)",2nd,male,0
"Andrew, Mr Edgar Samuel",2nd,male,0
"Andrew, Mr Frank",2nd,female,1
"Angle, Mr William A",2nd,male,0
"Angle, Mrs William A (Florence",2nd,male,0
"Ashby, Mr John",2nd,male,0
"Bailey, Mr Percy Andrew",2nd,female,1
"Baimbrigge, Mr Charles R",2nd,male,0
"Balls, Mrs Ada E Hall",2nd,male,0
"Banfield, Mr Frederick J",2nd,male,1
"Bateman, Rev Robert James",2nd,female,1
"Beane, Mr Edward",2nd,male,0
"Beane, Mrs Edward (Ethel Clark",2nd,female,1
"Beauchamp, Mr Henry James",2nd,female,1
"Becker, Mrs Allen Oliver (Nell",2nd,male,1
"Becker, Miss Marion Louise",2nd,female,1
"Becker, Master Richard F",2nd,male,1
"Becker, Miss Ruth Elizabeth",2nd,female,1
"Beesley, Mr Lawrence",2nd,male,0
"Bentham, Miss Lilian W",2nd,male,0
"Berriman, Mr William S",2nd,male,0
"Botsford, Mr William Hull",2nd,male,0
"Bowenur, Mr Solomon",2nd,female,1
"Bracken, Mr James H",2nd,male,0
"Brown, Miss Edith E",2nd,female,1
"Brown, Mr Thomas William Solom",2nd,female,1
"Brown, Mrs Thomas William Solo",2nd,male,0
"Bryhl, Miss Dagmar",2nd,female,1
"Bryhl, Mr Kurt Arnold Gottfrid",2nd,male,0
"Buss, Miss Kate",2nd,male,0
"Butler, Mr Reginald Fenton",2nd,female,1
"Byles, Rev Thomas Roussel D",2nd,male,1
"Bystrom, Mrs Carolina",2nd,female,1
"Caldwell, Mr Albert Francis",2nd,male,1
"Caldwell, Mrs Albert Francis (",2nd,female,1
"Caldwell, Master Alden Gates",2nd,male,0
"Cameron, Miss Clear",2nd,male,0
"Campbell, Mr William",2nd,male,0
"Carbines, Mr William",2nd,female,0
"Carter, Rev Ernest Courtenay",2nd,male,0
"Carter, Mrs Ernest Courtenay (",2nd,male,0
"Chapman, Mr Charles Henry",2nd,female,0
"Chapman, Mr John Henry",2nd,female,1
"Chapman, Mrs John Henry (Eliza",2nd,female,1
"Christy, Mrs Alice Frances",2nd,male,0
"Christy, Miss Julie",2nd,female,1
"Clarke, Mr Charles V",2nd,male,0
"Clarke, Mrs Charles V (Ada Mar",2nd,male,0
"Coleridge, Mr Reginald Charles",2nd,male,1
"Collander, Mr Erik",2nd,male,0
"Collett, Mr Sidney C Stuart",2nd,female,1
"Collyer, Mr Harvey",2nd,female,1
"Collyer, Mrs Harvey (Charlotte",2nd,female,0
"Collyer, Miss Marjorie",2nd,female,0
"Cook, Mrs Selena Rogers",2nd,female,0
"Corbett, Mrs Walter H (Irene C",2nd,male,0
"Corey, Mrs Percy C (Mary Phyll",2nd,male,0
"Cotterill, Mr Harry",2nd,male,0
"Cunningham, Mr Alfred Fleming",2nd,female,1
"Davies, Mr Charles Henry",2nd,male,1
"Davis, Mrs Agnes",2nd,female,1
"Davis, Master John Morgan",2nd,male,0
"Davis, Miss Mary",2nd,male,0
"Deacon, Mr Percy",2nd,male,0
"de Brito, Mr Jose Joaquim",2nd,female,1
"del Carlo, Mr Sebastiano",2nd,male,0
"del Carlo, Mrs Sebastiano (Arg",2nd,male,0
"Denbury, Mr Herbert",2nd,female,1
"Dibden, Mr William",2nd,female,1
"Doling, Mrs Ada",2nd,male,0
"Doling, Miss Elsie",2nd,male,0
"Downton (?Douton), Mr William",2nd,female,1
"Drew, Mr James Vivian",2nd,male,1
"Drew, Mrs James Vivian (Lulu T",2nd,female,1
"Drew, Master Marshall Brines",2nd,female,1
"Duran y More, Miss Asuncion",2nd,male,0
"Duran y More, Miss Florentina",2nd,male,0
"Eitemiller, Mr George Floyd",2nd,male,0
"Enander, Mr Ingvar",2nd,male,0
"Fahlstrom, Mr Arne Jonas",2nd,female,1
"Faunthorpe, Mr Harry",2nd,male,0
"Faunthorpe, Mrs Lizzie (see Wi",2nd,male,0
"Fillbrook, Mr Charles",2nd,male,0
"Fox, Mr Stanley H",2nd,female,0
"Frost, Mr Anthony (Archie) W",2nd,male,0
"Funk, Miss Annie C",2nd,male,0
"Fynney, Mr Joseph J",2nd,male,0
"Gale, Mr Harry",2nd,female,1
"Gale, Mr Shadrach",2nd,male,0
"Garside, Miss Ethel",2nd,male,0
"Gaskell, Mr Alfred",2nd,male,0
"Gavey, Mr Lawrence",2nd,male,0
"Gilbert, Mr William",2nd,male,0
"Giles, Mr Edgar",2nd,male,0
"Giles, Mr Frederick",2nd,male,0
"Giles, Mr Ralph",2nd,male,0
"Gill, Mr John W",2nd,male,0
"Gillespie, Mr William",2nd,male,0
"Givard, Mr Hans Christensen",2nd,male,0
"Greenberg, Mr Samuel",2nd,female,1
"Hale, Mr Reginald",2nd,male,1
"Hamalainen, Mrs William (Anna)",2nd,male,0
"Hamalainen, Master Viljo",2nd,male,0
"Harbeck, Mr William H",2nd,female,1
"Harper, Rev John",2nd,male,1
"Harper, Miss Nina",2nd,male,0
"Harris, Mr George",2nd,male,0
"Harris, Mr Walter",2nd,female,1
"Hart, Mr Benjamin",2nd,female,1
"Hart, Mrs Benjamin (Esther)",2nd,female,1
"Hart, Miss Eva Miriam",2nd,female,1
"Herman, Miss Alice",2nd,male,0
"Herman, Miss Kate",2nd,female,1
"Herman, Mr Samuel",2nd,female,1
"Herman, Mrs Samuel (Jane Laver",2nd,male,0
"Hewlett, Mrs Mary D",2nd,male,0
"Hickman, Mr Leonard Mark",2nd,male,0
"Hickman, Mr Lewis",2nd,female,0
"Hickman, Mr Stanley George",2nd,female,1
"Hiltunen, Miss Marta",2nd,male,0
"Hocking, Mrs Elizabeth",2nd,female,1
"Hocking, Mr George",2nd,male,0
"Hocking, Miss Ellen (Nellie)",2nd,male,0
"Hocking, Mr Samuel James",2nd,male,0
"Hodges, Mr Henry Price",2nd,female,1
"Hold, Mr Stephen",2nd,male,0
"Hold, Mrs Stephen (Annie Marga",2nd,male,1
"Hood, Mr Ambrose, Jr",2nd,male,0
"Hosono, Mr Masafumi",2nd,female,0
"Howard, Mr Benjamin",2nd,male,0
"Howard, Mrs Benjamin (Ellen Tr",2nd,female,1
"Hunt, Mr George Henry",2nd,male,0
"Ilett, Miss Bertha",2nd,female,1
"Jacobsohn, Mr Sidney Samuel",2nd,male,0
"Jacobsohn, Mrs Sidney Samuel (",2nd,male,0
"Jarvis, Mr John Denzil",2nd,male,0
"Jefferys, Mr Clifford",2nd,male,0
"Jefferys, Mr Ernest",2nd,female,1
"Jenkin, Mr Stephen Curnow",2nd,male,0
"Jerwan, Mrs Amin S (Marie Thui",2nd,female,1
"Kantor, Mr Sinai",2nd,female,0
"Kantor, Mrs Sinai (Miriam Ster",2nd,male,0
"Karnes, Mrs J Frank (Claire Be",2nd,female,1
"Keane, Mr Daniel",2nd,female,1
"Keane, Miss Nora A",2nd,male,0
"Kelly, Mrs Florence (Fannie)",2nd,male,0
"Kirkland, Rev Charles Leonard",2nd,male,0
"Knight, Mr Robert",2nd,male,0
"Kvillner, Mr Johan Henrik Joha",2nd,female,0
"Lahtinen, Rev William",2nd,male,0
"Lahtinen, Mrs William (Anna Sy",2nd,female,1
"Lamb, Mr John James",2nd,male,0
"Lemore, Mrs Amelia",2nd,female,1
"LaRoche, Mr Joseph",2nd,female,1
"LaRoche, Mrs Joseph (Juliet)",2nd,female,1
"LaRoche, Miss Louise",2nd,female,1
"LaRoche, Miss Simonne",2nd,female,1
"Lehmann, Miss Bertha",2nd,male,0
"Leitch, Miss Jessie",2nd,male,0
"Levy, Mr Rene Jacques",2nd,male,0
"Leyson, Mr Robert William Norm",2nd,male,0
"Lingan, Mr John",2nd,female,1
"Louch, Mr Charles Alexander",2nd,female,0
"Louch, Mrs Charles Alexander (",2nd,male,0
"Mack, Mrs Mary",2nd,male,0
"Malachard, Mr Noel",2nd,female,1
"Mallet, Mr Albert",2nd,male,1
"Mallet, Mrs Albert (Antoinette",2nd,male,0
"Mallet, Master Andre",2nd,male,0
"Mangiavacchi, Mr Serafino Emil",2nd,female,1
"Mantvila, Rev Joseph",2nd,male,0
"Marshall, Mrs Kate Louise Phil",2nd,male,0
"Matthews, Mr William John",2nd,male,0
"Maybery, Mr Frank H",2nd,male,0
"McCrae, Mr Arthur Gordon",2nd,male,0
"McCrie, Mr James Matthew",2nd,female,1
"McKane, Mr Peter D",2nd,female,1
"Mellenger, Mrs Elizabeth Anne",2nd,male,1
"Mellenger, Miss Madeleine Viol",2nd,male,0
"Mellor, Mr William John",2nd,male,0
"Meyer, Mr August",2nd,male,0
"Milling, Mr Jacob Christian",2nd,male,0
"Mitchell, Mr Henry Michael",2nd,male,0
"Moraweck, Dr Ernest",2nd,male,0
"Morley, Mr William",2nd,male,0
"Mudd, Mr Thomas C",2nd,male,0
"Myles, Mr Thomas Francis",2nd,female,1
"Nasser (Nasrallah), Mr Nichola",2nd,male,1
"Nasser (Nasrallah), Mrs Nichol",2nd,male,0
"Navratil, Master Edmond Roger",2nd,male,1
"Navratil, Mr Michel",2nd,male,0
"Navratil, Master Michel M",2nd,male,0
"Nesson, Mr Israel",2nd,male,0
"Nicholls, Mr Joseph Charles",2nd,male,1
"Norman, Mr Robert Douglas",2nd,female,1
"Nourney, Mr Alfred (aka Baron",2nd,male,0
"Nye, Mrs Elizabeth Ramell",2nd,male,1
"Otter, Mr Richard",2nd,male,1
"Oxenham, Mr Percy Thomas",2nd,male,0
"Padro y Manent, Mr Julian",2nd,male,1
"Pain, Dr Alfred",2nd,male,0
"Pallas y Castello, Mr Emilio",2nd,male,0
"Parker, Mr Clifford R",2nd,female,1
"Parkes, Mr Francis (Frank)",2nd,male,0
"Parrish, Mrs Lutie Davis",2nd,male,0
"Pengelly, Mr Frederick",2nd,female,1
"Peruschitz, Rev Joseph M",2nd,male,0
"Phillips, Miss Alice",2nd,female,1
"Phillips, Mr Robert",2nd,male,0
"Pinsky, Miss Rosa",2nd,male,1
"Ponesell, Mr Martin",2nd,male,0
"Portaluppi, Mr Emilio",2nd,female,1
"Pulbaum, Mr Frank",2nd,female,1
"Quick, Mrs Frederick C (Jane R",2nd,female,1
"Quick, Miss Phyllis May",2nd,male,0
"Quick, Miss Winifred Vera",2nd,male,0
"Reeves, Mr David",2nd,female,1
"Renouf, Mr Peter Henry",2nd,female,1
"Renouf, Mrs Peter Henry (Lilli",2nd,male,0
"Reynaldo, Mrs Encarnacion",2nd,male,1
"Richard, Mr Emil",2nd,female,1
"Richards, Master George Sidney",2nd,male,1
"Richards, Mrs Sidney (Emily Ho",2nd,female,1
"Richards, Master William Rowe",2nd,male,0
"Ridsdale, Miss Lucy",2nd,female,1
"Rogers, Mr Harry",2nd,male,0
"Rugg, Miss Emily",2nd,male,0
"Sedgwick, Mr Charles Frederick",2nd,female,1
"Sharp, Mr Percival",2nd,female,1
"Shelley, Mrs William (Imanita)",2nd,female,1
"Silven, Miss Lyyli",2nd,female,1
"Sincock, Miss Maude",2nd,male,0
"Siukonnen, Miss Anna",2nd,female,1
"Sjostedt, Mr Ernst Adolf",2nd,male,0
"Slayter, Miss Hilda Mary",2nd,male,0
"Slemen, Mr Richard James",2nd,female,1
"Smith (Schmidt), Mr Augustus",2nd,male,0
"Smith, Miss Marion",2nd,male,0
"Sobey, Mr Hayden",2nd,male,0
"Stanton, Mr Samuel Ward",2nd,male,0
"Stokes, Mr Philip Joseph",2nd,female,1
"Sweet, Mr George",2nd,male,0
"Toomey, Miss Ellen",2nd,female,1
"Troupiansky, Mr Moses Aaron",2nd,female,1
"Trout, Mrs William H (Jessie L",2nd,male,0
"Troutt, Miss Edwina Celia",2nd,female,0
"Turpin, Mr William John",2nd,male,0
"Turpin, Mrs William John (Doro",2nd,male,0
"Veale, Mr James",2nd,female,1
"Waelens, Mr Achille",2nd,male,0
"Walcroft, Miss Nellie",2nd,female,1
"Ware, Mr John James",2nd,male,0
"Ware, Mrs John James (Florence",2nd,male,0
"Ware, Mr William J",2nd,female,1
"Watson, Mr Ennis Hastings",2nd,female,1
"Watt, Miss Bertha",2nd,female,1
"Watt, Mrs James (Bessie Inglis",2nd,male,0
"Webber, Miss Susan",2nd,female,1
"Weisz, Mr Leopold",2nd,female,1
"Weisz, Mrs Leopold (Mathilde)",2nd,female,1
"Wells, Mrs Arthur H (Addie Tre",2nd,male,1
"Wells, Miss Joan",2nd,female,1
"Wells, Master Ralph Lester",2nd,female,1
"West, Miss Barbara J",2nd,male,0
"West, Miss Constance Mirium",2nd,female,1
"West, Mr Edwy Arthur",2nd,male,0
"West, Mrs Edwy Arthur (Ada Mar",2nd,male,0
"Wheadon, Mr Edward",2nd,male,0
"Wheeler, Mr Edwin",2nd,male,1
"Wheeler, Mr Frederick",2nd,female,1
"Wilhelms, Mr Charles",2nd,male,1
"Wilkinson, Mrs Elizabeth Anne",2nd,female,1
